Locality,Aggregate rating,restaurant_count
Navarre,4.2,1
Navrangpura,4.2,2
Nehru Place,2.5,32
"Neil Road, Outram",3.1,1
"Nelson Mandela Square, Sandown",4.3,1
Nerul,3.7,1
Netaji Subhash Place,3.53,48
New BEL Road,4.6,1
New Friends Colony,2.26,47
New Palasia,4.03,3
New Tampa,4.9,1
New Town,4.03,4
Newlands,4.5,1
Newmarket,3.5,1
"Nicolway Shopping Centre, Bryanston",4.6,1
"Ninex City Mart Mall, Sohna Road",3.35,2
Nirala Bazar,3.42,4
Nizamuddin,2.56,10
"North Bridge Road, Rochor",3.2,1
Northeast St Petersburg,4.5,1
Northern Quarter,4.28,4
Nungambakkam,4.4,2
"Nuvali, Don Jose, Santa Rosa",3.6,1
Nyay Nagar,3.2,1
Ohri' Hitech City,4.1,1
Ojo Caliente,3.6,1
Okhla Phase 1,0.41,8
Okhla Phase 2,2.12,6
"Old Dutch Hospital, Fort",4.9,1
Old Palasia,3.9,2
Old Railway Road,2.71,41
Old Town,3.93,9
"Omaxe Celebration Mall, Sohna Road, Gurgaon",2.2,1
Omaxe Gurgaon Mall,3.37,3
"One Horizon Center, Golf Course Road",3.56,8
"One and Only Hotel, V & A Waterfront",4.0,1
Oxford Road,3.5,2
PAU,3.5,1
PVR Anupam Complex,3.43,13
"Pacific Mall, Jakhan",3.9,1
"Pacific Mall, Tagore Garden",2.72,27
Paharganj,2.81,64
"Pai Hotels, Doora",3.7,1
Paia,4.9,1
Palam,0.58,60
Palam Vihar,0.98,49
Palarivattom,4.2,1
"Palate of Delhi, Chanakyapuri",0.71,9
Palm Cove,4.4,1
Palma Ceia,4.7,1
Paltan Bazaar,3.9,1
Panaji,4.47,4
Panampilly Nagar,4.03,3
Panchsheel Park,3.52,4
Panchvati,3.5,1
Pandara Road Market,3.86,10
Pandav Nagar,0.29,20
Parade,3.9,1
Parijat Nagar,3.8,1
"Park Ascent, Sector 62, Noida",0.0,1
"Park Inn, Sector 15, Gurgaon",3.2,1
"Park Plaza Hotel, Sector 55, Noida",3.57,3
"Park Plaza, Sector 21, Faridabad",3.0,1
"Park Plaza, Sushant Lok",3.5,4
Park Street Area,4.22,4
"ParkShopping, Guar�� I",4.0,1
Parkhurst,4.07,3
Parktown North,4.2,1
Parnell,4.0,1
"Parsavnath City Mall, Sector 12, Faridabad",2.0,3
Paschim Vihar,3.15,56
Patia,3.89,9
Patliputra Colony,3.5,1
Patparganj,3.19,8
Paynesville,2.6,1
Peelamedu,3.92,5
Peer Gate Area,4.1,1
Penjaringan,4.9,1
Penola,3.4,1
Penrose,4.5,1
Pensacola,4.2,12
Pensacola Beach,4.06,5
Perdido Key,4.55,2
Perungudi,3.8,1
Phillip Island,3.7,1
"Phoenix Market City, Viman Nagar",4.5,1
"Piccadily Hotel, Janakpuri",2.6,1
"Pineslopes Shopping Centre, Fourways",4.35,2
Pinheiros,4.3,1
Piplod,4.05,4
Pitampura,2.87,85
"Plaza Festival, Kuningan",4.3,1
"Plaza Mall, MG Road",3.0,1
Pocatello,3.46,16
Podanur,3.8,1
Pondok Aren,4.9,1
"Pont��o Lago Sul, Lago Sul",3.2,1
"Portman Mews South, Marble Arch",4.5,1
"Post Office Center, Illovo",4.4,1
Potrero,3.3,1
Powai,4.35,2
Pragati Maidan,3.9,2
Prahlad Nagar,4.5,1
Prashant Vihar,1.62,17
Pratap Nagar,4.5,1
Preet Vihar,1.92,49
"Premier Inn, Shalimar Bagh",3.05,2
"Pride Plaza Hotel, Aerocity",1.03,3
Princeton,4.0,1
"Prozone Mall, Chicalthana",3.4,1
Punjabi Bagh,3.39,60
"Quest Mall, Ballygunge",4.4,1
Qutab Institutional Area,0.38,23
"Qutab Plaza, DLF Phase 1",3.11,13
"R Deccan Mall, JM Road",4.5,1
R K Puram,1.34,38
RA Puram,4.3,1
RS Puram,4.25,2
Race Course,3.91,9
"Radisson Blu Hotel, Vijay Nagar",3.8,1
